RoleName,Entity,SOP,SubSOP,Coverage
Sales Managers,Scott Electric Distribution,PURCHASING,08_Miscellaneous,ALL
SE_TLS_REP,Scott Electric Distribution,Basics,,ALL
SE_TLS_REP,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
SE_TLS_REP,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
SE_TLS_REP,Scott Electric Distribution,PURCHASING,,ALL
SE_TLS_REP,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
SE_TLS_REP,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
SE_TLS_REP,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
SE_TLS_REP,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
SE_TLS_REP,Scott Electric Distribution,PURCHASING,05_Return Merchandise PO to Shipment,ALL
SE_TLS_REP,Scott Electric Distribution,PURCHASING,06.5_Run Reports,ALL
SE_TLS_REP,Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),ALL
SE_TLS_REP,Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,ALL
SE_TLS_REP,Scott Electric Distribution,PURCHASING,08_Miscellaneous,ALL
Special Sales,Scott Electric Distribution,Basics,,ALL
Special Sales,Scott Electric Distribution,FINANCIAL,,ALL
Special Sales,Scott Electric Distribution,FINANCIAL,Accounts Payable,ALL
Special Sales,Scott Electric Distribution,FINANCIAL,Accounts Receivable,ALL
Special Sales,Scott Electric Distribution,FINANCIAL,Credit,ALL
Special Sales,Scott Electric Distribution,FINANCIAL,General Ledger,ALL
Special Sales,Scott Electric Distribution,OPERATIONS,,ALL
Special Sales,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,ALL
Special Sales,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Special Sales,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Special Sales,Scott Electric Distribution,PURCHASING,,ALL
Special Sales,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
Special Sales,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
Special Sales,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
Special Sales,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
Special Sales,Scott Electric Distribution,PURCHASING,05_Return Merchandise PO to Shipment,ALL
Special Sales,Scott Electric Distribution,PURCHASING,06.5_Run Reports,ALL
Special Sales,Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),ALL
Special Sales,Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,ALL
Special Sales,Scott Electric Distribution,PURCHASING,08_Miscellaneous,ALL
SysAdmin,PALCO,FINANCIAL,ACCOUNTS PAYABLE,ALL
SysAdmin,PALCO,FINANCIAL,GENERAL LEDGER,ALL
SysAdmin,PALCO,ISM,01_Service Order Process,ALL
SysAdmin,PALCO,ISM,02_Rental Process,ALL
SysAdmin,PALCO,ISM,03_Warranty Process,ALL
SysAdmin,PALCO,ISM,04_ISM Set Up,ALL
SysAdmin,PALCO,ISM,06_Register a Unit,ALL
SysAdmin,PALCO,ISM,07_Tech Mobile,ALL
SysAdmin,PALCO,ISM,08_PMA Service Orders,ALL
SysAdmin,PALCO,PURCHASING,01_Purchase Order Entry to Print,ALL
SysAdmin,PALCO,SALES,02_Order Modification,ALL
SysAdmin,PALCO,SALES,03_Order Review,ALL
SysAdmin,PALCO,SALES,05_Product Management,ALL
SysAdmin,PALCO,SALES,Palco Specific Sales,ALL
SysAdmin,PALCO,START UP,,ALL
SysAdmin,Scott Electric Distribution,,,ALL
SysAdmin,Scott Electric Distribution,Basics,,ALL
SysAdmin,Scott Electric Distribution,FINANCIAL,,ALL
SysAdmin,Scott Electric Distribution,FINANCIAL,Accounts Payable,ALL
SysAdmin,Scott Electric Distribution,FINANCIAL,Accounts Receivable,ALL
SysAdmin,Scott Electric Distribution,FINANCIAL,Credit,ALL
SysAdmin,Scott Electric Distribution,FINANCIAL,General Ledger,ALL
SysAdmin,Scott Electric Distribution,OPERATIONS,,ALL
SysAdmin,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,ALL
SysAdmin,Scott Electric Distribution,OPERATIONS,02_Warehouse,ALL
SysAdmin,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
SysAdmin,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
SysAdmin,Scott Electric Distribution,PRICING,,ALL
SysAdmin,Scott Electric Distribution,PURCHASING,,ALL
SysAdmin,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
SysAdmin,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
SysAdmin,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
SysAdmin,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
SysAdmin,Scott Electric Distribution,PURCHASING,05_Return Merchandise PO to Shipment,ALL
SysAdmin,Scott Electric Distribution,PURCHASING,06.5_Run Reports,ALL
SysAdmin,Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),ALL
SysAdmin,Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,ALL
SysAdmin,Scott Electric Distribution,PURCHASING,08_Miscellaneous,ALL
SysAdmin,Scott Electric Distribution,SALES,,ALL
SysAdmin,Scott Electric Distribution,SALES,01_Order Entry,ALL
SysAdmin,Scott Electric Distribution,SALES,02_Order Modification,ALL
SysAdmin,Scott Electric Distribution,SALES,03_Order Review,ALL
SysAdmin,Scott Electric Distribution,SALES,04_Order Copying and Conversion,ALL
SysAdmin,Scott Electric Distribution,SALES,05_Product Management,ALL
SysAdmin,Scott Electric Distribution,SALES,06_Lookup and Inquiry,ALL
SysAdmin,Scott Electric Distribution,SALES,07_Wire Order Placement,ALL
SysAdmin,Scott Electric Distribution,SALES,BATTERY,ALL
