Entity,SOP,SubSOP,Module_Name,RoleName,Source,Flag
PALCO,ISM,02_Rental Process,13_Add Freight to Rental,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,08_Check Out Rental,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,12_Receive Vendor RM PO,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,11_Change Billing Details,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,07_Receive Re Rent PO,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,10_Close Rental,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,04_Add Re Rent Items,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,01_Create Rental Contract,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,03_Print Rental Agreement,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,02_Add Rental Items,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,06_Print Re Rent PO,PALCO_Mngt,ALL,R
PALCO,ISM,02_Rental Process,09_Check In Rental,PALCO_Mngt,ALL,R
PALCO,ISM,03_Warranty Process,03_Change Working Status,PALCO_Mngt,ALL,R
PALCO,ISM,03_Warranty Process,09_Vendor Invoice Center,PALCO_Mngt,ALL,R
PALCO,ISM,03_Warranty Process,05_Customer Bill Override,PALCO_Mngt,ALL,R
PALCO,ISM,03_Warranty Process,04_Change Operations,PALCO_Mngt,ALL,R
PALCO,ISM,03_Warranty Process,07_Mark Accepted,PALCO_Mngt,ALL,R
PALCO,ISM,03_Warranty Process,08_Mark Reconciled,PALCO_Mngt,ALL,R
PALCO,ISM,03_Warranty Process,06_ISM Invoice,PALCO_Mngt,ALL,R
PALCO,ISM,03_Warranty Process,01_Filter Working Status,PALCO_Mngt,ALL,R
PALCO,ISM,04_ISM Set Up,01_Partner Set Up,PALCO_Mngt,ALL,R
PALCO,ISM,04_ISM Set Up,08_Contract Rental Template,PALCO_Mngt,ALL,R
PALCO,ISM,04_ISM Set Up,03_Create a New Work Code,PALCO_Mngt,ALL,R
PALCO,ISM,04_ISM Set Up,07_Set Up a Rate,PALCO_Mngt,ALL,R
PALCO,ISM,04_ISM Set Up,06_Create a Warranty Code,PALCO_Mngt,ALL,R
PALCO,ISM,04_ISM Set Up,09_Contract Service Template PMA,PALCO_Mngt,ALL,R
PALCO,ISM,04_ISM Set Up,02_Partners Schedule Set Up,PALCO_Mngt,ALL,R
PALCO,ISM,04_ISM Set Up,05_Create an SRO Template,PALCO_Mngt,ALL,R
PALCO,ISM,06_Register a Unit,01_Create a Customer Unit,PALCO_Mngt,ALL,R
PALCO,ISM,06_Register a Unit,02_Add a Warranty to a Unit,PALCO_Mngt,ALL,R
PALCO,ISM,07_Tech Mobile,01_Travel to Site,PALCO_Mngt,ALL,R
PALCO,ISM,07_Tech Mobile,05_Close Appointment,PALCO_Mngt,ALL,R
PALCO,ISM,07_Tech Mobile,04_Travel Leaving Site,PALCO_Mngt,ALL,R
PALCO,ISM,07_Tech Mobile,02_Perform Site Work,PALCO_Mngt,ALL,R
PALCO,ISM,07_Tech Mobile,03_Add Material,PALCO_Mngt,ALL,R
PALCO,ISM,07_Tech Mobile,06_Change Status to Call Back,PALCO_Mngt,ALL,R
PALCO,ISM,08_PMA Service Orders,04_Bill Contract,PALCO_Mngt,ALL,R
PALCO,ISM,08_PMA Service Orders,03_Generate SRO,PALCO_Mngt,ALL,R
PALCO,ISM,08_PMA Service Orders,02_Add PMA Contract Lines,PALCO_Mngt,ALL,R
PALCO,ISM,08_PMA Service Orders,01_Create PMA Contract,PALCO_Mngt,ALL,R
PALCO,PURCHASING,01_Purchase Order Entry to Print,01_Create Purchase Order,PALCO_Mngt,ALL,R
PALCO,SALES,02_Order Modification,02_Adjust Line Items,PALCO_Mngt,ALL,R
PALCO,SALES,02_Order Modification,06_Suspend an Order,PALCO_Mngt,ALL,R
PALCO,SALES,02_Order Modification,05_Manually Apply Hold and Approve Held Order,PALCO_Mngt,ALL,R
PALCO,SALES,02_Order Modification,03_Enter Stock Sales Order and Change Line Items,PALCO_Mngt,ALL,R
PALCO,SALES,02_Order Modification,"04_Add Comments, Notes to Customer Sales Order",PALCO_Mngt,ALL,R
PALCO,SALES,02_Order Modification,01_Add Items to Stock Customer Sales Order,PALCO_Mngt,ALL,R
